time,events,wearable,soc,cvip,cpu,gpu,5v_sys,nvme_pwr1,nvme_pwr3,nvme_pwr2,wlan,vddp_run,vddp_s5,LPDDR_PWR,PROC_TOT_PWR,THERM_TOT_PWR,THERM_TOT_PWR-throttle,Tboard_soc1tmp,Tdiode_soc1tmp,battery,chrgr,ddr1,ddr2,mem,mero2,vrm,run_number,time_delta
5.404,,5417000.0,1016000.0,1924000.0,625000.0,105000.0,5973000.0,20000.0,11000.0,11000.0,274000.0,74000.0,63000.0,2562000.0,3966000.0,6528000.0,25000000.0,109.4,106.7,88.16,103.775,109.4,107.825,100.9616,109.625,106.7,1.0,0 days 00:00:05.404000
5.603,,5417000.0,914000.0,1853000.0,1100000.0,105000.0,5973000.0,30000.0,11000.0,11000.0,274000.0,68000.0,63000.0,2448000.0,4639000.0,7087000.0,25000000.0,109.4,106.7,88.16,103.775,109.4,107.825,100.9616,109.625,106.7,1.0,0 days 00:00:05.603000
5.803,,5417000.0,968000.0,1900000.0,1121000.0,105000.0,5973000.0,30000.0,14000.0,11000.0,295000.0,68000.0,63000.0,2433000.0,3775000.0,6208000.0,25000000.0,109.4,106.7,88.16,103.775,109.4,107.825,100.9616,109.625,106.7,1.0,0 days 00:00:05.803000
6.004,,5377000.0,1089000.0,2066000.0,928000.0,105000.0,6090000.0,20000.0,11000.0,11000.0,295000.0,72000.0,63000.0,2455000.0,4923000.0,7378000.0,25000000.0,109.4,106.7,88.16,103.775,109.4,107.825,100.9616,109.625,106.7,1.0,0 days 00:00:06.004000
6.204,,5377000.0,1008000.0,2090000.0,847000.0,105000.0,6090000.0,20000.0,14000.0,11000.0,295000.0,68000.0,63000.0,2517000.0,4662000.0,7179000.0,25000000.0,109.4,106.7,88.16,103.8866,109.625,107.9366,101.075,109.7366,106.8116,1.0,0 days 00:00:06.204000
6.403,,5377000.0,833000.0,1805000.0,1169000.0,105000.0,6090000.0,30000.0,11000.0,11000.0,250000.0,68000.0,63000.0,2555000.0,7005000.0,9560000.0,25000000.0,109.4,106.7,88.16,103.8866,109.625,107.9366,101.075,109.7366,106.8116,1.0,0 days 00:00:06.403000
6.604,,5402000.0,914000.0,1805000.0,887000.0,105000.0,6108000.0,30000.0,14000.0,4000.0,250000.0,72000.0,63000.0,2448000.0,7632000.0,10080000.0,25000000.0,109.4,106.7,88.16,103.8866,109.625,107.9366,101.075,109.7366,106.8116,1.0,0 days 00:00:06.604000
6.803,,5402000.0,819000.0,1805000.0,1129000.0,1666000.0,6108000.0,20000.0,14000.0,4000.0,250000.0,72000.0,63000.0,2503000.0,8070000.0,10573000.0,25000000.0,109.4,106.7,88.16,103.8866,109.625,107.9366,101.075,109.7366,106.8116,1.0,0 days 00:00:06.803000
7.003,,5402000.0,839000.0,2114000.0,1270000.0,565000.0,6108000.0,20000.0,14000.0,11000.0,284000.0,68000.0,63000.0,2475000.0,6645000.0,9120000.0,25000000.0,109.4,107.15,88.16,103.8866,109.625,107.9366,101.075,109.7366,106.8116,1.0,0 days 00:00:07.003000
7.203,,5432000.0,798000.0,1686000.0,1229000.0,3210000.0,6136000.0,20000.0,30000.0,4000.0,284000.0,72000.0,63000.0,2478000.0,9093000.0,11571000.0,25000000.0,109.4,107.15,88.16,104.0,109.7366,108.1616,101.1866,109.9616,107.0366,1.0,0 days 00:00:07.203000
7.403,,5432000.0,839000.0,2161000.0,1339000.0,105000.0,6136000.0,30000.0,14000.0,11000.0,284000.0,74000.0,63000.0,2467000.0,7042000.0,9509000.0,25000000.0,109.4,107.15,88.16,104.0,109.7366,108.1616,101.1866,109.9616,107.0366,1.0,0 days 00:00:07.403000
7.603,,5414000.0,757000.0,1853000.0,1480000.0,1609000.0,6123000.0,30000.0,8000.0,11000.0,235000.0,72000.0,63000.0,2438000.0,10021000.0,12459000.0,25000000.0,109.4,107.15,88.16,104.0,109.7366,108.1616,101.1866,109.9616,107.0366,1.0,0 days 00:00:07.603000
7.804,,5414000.0,833000.0,1853000.0,1109000.0,691000.0,6123000.0,30000.0,8000.0,11000.0,235000.0,72000.0,63000.0,2415000.0,7626000.0,10041000.0,25000000.0,109.4,107.15,88.16,104.0,109.7366,108.1616,101.1866,109.9616,107.0366,1.0,0 days 00:00:07.804000
8.004,,5414000.0,819000.0,2233000.0,1328000.0,523000.0,6123000.0,30000.0,14000.0,11000.0,235000.0,68000.0,63000.0,2399000.0,8107000.0,10506000.0,25000000.0,109.4,107.15,88.16,104.0,109.7366,108.1616,101.1866,109.9616,107.0366,1.0,0 days 00:00:08.004000
8.204,,5374000.0,874000.0,1995000.0,1270000.0,3337000.0,6103000.0,30000.0,14000.0,11000.0,253000.0,74000.0,63000.0,2418000.0,9412000.0,11830000.0,25000000.0,109.4,107.15,88.16,104.1116,109.85,108.275,101.3,110.075,107.15,1.0,0 days 00:00:08.204000
8.404,,5374000.0,813000.0,1853000.0,1764000.0,3311000.0,6103000.0,20000.0,76000.0,11000.0,253000.0,79000.0,63000.0,2389000.0,10019000.0,12408000.0,25000000.0,109.4,107.15,88.16,104.1116,109.85,108.275,101.3,110.075,107.15,1.0,0 days 00:00:08.404000
8.603,,5374000.0,874000.0,2090000.0,1679000.0,5606000.0,6103000.0,20000.0,76000.0,11000.0,279000.0,83000.0,63000.0,2433000.0,7038000.0,9471000.0,25000000.0,111.2,107.15,88.16,104.1116,109.85,108.275,101.3,110.075,107.15,1.0,0 days 00:00:08.603000
8.803,,5267000.0,874000.0,1686000.0,1471000.0,4651000.0,6074000.0,20000.0,30000.0,11000.0,279000.0,74000.0,65000.0,2445000.0,4275000.0,6720000.0,25000000.0,111.2,107.15,88.16,104.1116,109.85,108.275,101.3,110.075,107.15,1.0,0 days 00:00:08.803000
9.004,,5267000.0,867000.0,1639000.0,1351000.0,5464000.0,6074000.0,10000.0,30000.0,4000.0,279000.0,72000.0,63000.0,2399000.0,4571000.0,6970000.0,25000000.0,111.2,107.15,88.16,104.1116,109.85,108.275,101.3,110.075,107.15,1.0,0 days 00:00:09.004000
9.204,,5267000.0,874000.0,1924000.0,1632000.0,2307000.0,6074000.0,20000.0,30000.0,11000.0,247000.0,74000.0,63000.0,2413000.0,4416000.0,6829000.0,25000000.0,111.2,107.15,88.16,104.225,110.075,108.3866,101.4116,110.1866,107.2616,1.0,0 days 00:00:09.204000
9.403,,5356000.0,914000.0,2090000.0,887000.0,105000.0,5981000.0,30000.0,11000.0,11000.0,247000.0,72000.0,63000.0,2468000.0,4037000.0,6505000.0,25000000.0,111.2,107.6,88.16,104.225,110.075,108.3866,101.4116,110.1866,107.2616,1.0,0 days 00:00:09.403000
9.604,,5356000.0,1169000.0,2066000.0,1819000.0,5793000.0,5981000.0,20000.0,11000.0,11000.0,247000.0,72000.0,65000.0,2444000.0,4201000.0,6645000.0,25000000.0,111.2,107.6,88.16,104.225,110.075,108.3866,101.4116,110.1866,107.2616,1.0,0 days 00:00:09.604000
9.804,,5356000.0,914000.0,2066000.0,1250000.0,5626000.0,5981000.0,30000.0,11000.0,11000.0,268000.0,74000.0,63000.0,2467000.0,3979000.0,6446000.0,25000000.0,111.2,107.6,88.16,104.225,110.075,108.3866,101.4116,110.1866,107.2616,1.0,0 days 00:00:09.804000
